slide_id,start,length
H1175-21-A15,119280,1024
H1175-21-A2,120304,1024
H1175-21-A3,121328,1024
H1175-21-A4,122352,1024
H1175-21-A5,123376,1024
H1175-21-A6,124400,1024
H1175-21-A7,125424,1024
H1175-21-A8,126448,1024
H1175-21-A9,127472,1024
H1175-21-B1,128496,1024
H1175-21-B1-1,129520,1024
H1175-21-B10,130544,1024
H1175-21-B10-1,131568,1024
H1175-21-B2,132592,1024
H1175-21-B3,133616,1024
H1175-21-B4,134640,1024
H1175-21-B5,135664,1024
H1175-21-B6,136688,1024
H1175-21-B7,137712,1024
H1175-21-B8,138736,1024
H1175-21-B9,139760,1024
H1175-21-C1,140784,1024
H1175-21-C2,141808,1024
H1175-21-C3,142832,1024
H1175-21-C4,143856,1024
H1175-21-C5,144880,1024
H1175-21-CN,145904,1024
H1175-21-D1,146928,1024
H1175-21-D2,147952,1024
H1175-21-D3,148976,1024
H1175-21-D4,150000,1024
H1175-21-D5,151024,805
H1175-21-D7,151829,249
H1175-21-D8,152078,1024
H1175-21-D9,153102,803
H118-22-A3,153905,1024
H118-23-B1,154929,1024
H1205-23-A,155953,1024
H1205-23-A-1,156977,1024
H1205-23-B,158001,1024
H1205-23-B-1,159025,1024
H1205-23-C,160049,1024
H1205-23-C-1,161073,1024
H1217-22,162097,1024
H1269-21,163121,1024
H1269-21-1,164145,1024
H1306-22,165169,589
H1356-21,165758,1024
H1356-21-1,166782,1024
H1363-21,167806,1024
H1374-21,168830,1024
H1374-21-1,169854,1024
H1393-21-1,170878,1024
H1401-21,171902,1024
H1401-21-1,172926,1024
H1440-21-1,173950,1024
H1440-21-11,174974,1024
H1440-21-12,175998,1024
H1440-21-13,177022,1024
H1440-21-14,178046,1024
H1440-21-15,179070,1024
H1440-21-16,180094,1024
H1440-21-17,181118,840
H1440-21-18,181958,1024
H1440-21-19,182982,1024
H1440-21-21,184006,745
H1440-21-21-1,184751,668
H1440-21-23,185419,568
H1440-21-25,185987,417
H1440-21-26,186404,1024
H1440-21-28,187428,998
H1440-21-29,188426,1024
H1440-21-3,189450,1024
H1440-21-30,190474,1024
H1440-21-31,191498,1024
H1440-21-32,192522,1024
H1440-21-33,193546,1024
H1440-21-34,194570,1024
H1440-21-35,195594,1024
H1440-21-36,196618,1024
H1440-21-4,197642,1024
H1440-21-5,198666,1024
H1440-21-9,199690,1024
H1487-22-A10,200714,1024
H1487-22-A11,201738,1024
H1487-22-A13,202762,1024
H1487-22-A14,203786,1024
H1487-22-A2,204810,1024
H1487-22-A4,205834,1024
H1487-22-A5,206858,1024
H1487-22-A6,207882,1024
H1487-22-A7,208906,1024
H1487-22-A8,209930,1024
H1487-22-A9,210954,1024
H1487-22-B1,211978,1024
H1487-23-A10,213002,1024
H1487-23-B2,214026,1024
H1487-23-B2-1,215050,1024
H1537-22,216074,918
H1552-22-1,216992,1024
H1552-22-2,218016,1024
H1552-22-5,219040,1024
H1552-22-7,220064,1024
H1552-22-7-1,221088,1024
H1552-22-8,222112,1024
H1552-22-A,223136,1024
H1560-22-1,224160,1024
H1560-22-10,225184,1024
H1560-22-2,226208,1024
H1560-22-3,227232,680
H1560-22-4,227912,1024
H1560-22-6,228936,1024
H1560-22-6-1,229960,1024
H1560-22-7,230984,1024
H1560-22-8,232008,1024
H1560-22-9,233032,1024
H1566-22-1,234056,1024
H1566-22-2,235080,1024
H1566-22-3,236104,1024
H1566-22-4,237128,1024
H160-21-A,238152,1024
H160-21-B,239176,1024
H1614-21-1,240200,1024
H1614-21-2,241224,1024
H1614-21-2-1,242248,1024
H1628-22-B1,243272,1024
H1628-22-B1-1,244296,1024
H1628-22-B10,245320,1024
H1628-22-B12,246344,1024
H1628-22-B6,247368,292
H1628-22-B7,247660,1024
H1628-22-B8,248684,1024
H1628-22-B9,249708,1024
H1628-22-B9-1,250732,1024
H1628-22-EX5,251756,1024
H1628-B12-22,252780,1024
H1628-B15-22,253804,1024
H1633-22-1,254828,1024
H1633-22-10,255852,1024
H1633-22-11,256876,1024
H1633-22-12,257900,1024
H1633-22-13,258924,1024
H1633-22-14,259948,1024
H1633-22-15,260972,1024
H1633-22-16,261996,1024
H1633-22-17,263020,1024
H1633-22-2,264044,1024
H1633-22-3,265068,1024
H1633-22-4,266092,1024
H1633-22-6,267116,1024
H1633-22-7,268140,1024
H1633-22-8,269164,1024
H1633-22-9,270188,1024
H1641-22-B,271212,1024
H1641-22-B-1,272236,1024
H1641-22-C,273260,357
H1641-22-C-1,273617,337
H1655-21,273954,991
H1655-21-1,274945,980
H1689-20-B,275925,1024
H1856-21,276949,1024
H1901-21,277973,1024
H1910-21,278997,1024
H1911-21,280021,1024
H1913-22-10,281045,1024
H1913-22-11,282069,1024
H1913-22-12,283093,1024
H1913-22-13,284117,1024
H1913-22-13-1,285141,1024
H1913-22-14,286165,1024
H1913-22-15,287189,1024
H1913-22-8,288213,1024
H1925-22,289237,1024
H1925-22-1,290261,976
H1966-22,291237,1024
H1986-22-10,292261,1024
H1986-22-A11,293285,1024
H1986-22-A2,294309,1024
H1986-22-A3,295333,1024
H1986-22-A4,296357,1024
H1986-22-A4-1,297381,1024
H1986-22-A5,298405,1024
H1986-22-A6,299429,1024
H1986-22-A7,300453,1024
H1986-22-A8,301477,1024
H1986-22-A9,302501,1024
H1986-22-B1,303525,1024
H1986-22-B3,304549,1024
H2097-22,305573,911
H2097-22-1,306484,926
H210-22,307410,1024
H215-23-2,308434,1024
H215-23-3,309458,1024
H246-22-A,310482,1024
H246-22-B,311506,1024
H334-22-EX2,312530,1024
H334-23,313554,1024
H334-23-EX1,314578,1024
H334-23-EX2,315602,1024
H353-22-6,316626,1024
H36-22.pyramidal,317650,1024
H43-21-5,318674,1024
H473-23-A,319698,1024
H473-23-B,320722,310
H473-23-B-1,321032,318
H479-21,321350,1024
H482-22,322374,1024
H499-21,323398,1024
H503-23-17A,324422,1024
H503-23-A12,325446,1024
H503-23-A16,326470,1024
H503-23-A19,327494,1024
H533-1-22,328518,1024
H533-22-10,329542,1024
H533-22-11,330566,1024
H533-22-2,331590,1024
H533-22-4,332614,1024
H533-22-5,333638,1024
H533-22-5-1,334662,1024
H533-22-6,335686,1024
H533-22-7-2,336710,1024
H533-22-9,337734,1024
H538-21,338758,1024
H561-23,339782,808
H561-23-1,340590,806
H609-21-11,341396,1024
H617-23,342420,1024
H617-23-1,343444,1024
H625-21-A,344468,546
H625-21-B,345014,729
H639-21-2,345743,1024
H672-21-1,346767,1024
H672-21-2,347791,1024
H684-22,348815,1024
H685-23,349839,1024
H700-22-1,350863,1024
H715-22-1,351887,1024
H715-22-10,352911,1024
H715-22-11,353935,1024
H715-22-12,354959,1024
H715-22-14,355983,1024
H715-22-16,357007,1024
H715-22-17,358031,1024
H715-22-2,359055,1024
H715-22-3,360079,1024
H715-22-4,361103,1024
H715-22-5,362127,1024
H715-22-6,363151,1024
H715-22-7,364175,1024
H715-22-8,365199,1024
H715-22-8-1,366223,1024
H733-22-2,367247,1024
H742-22-1,368271,1024
H742-22-10,369295,1024
H742-22-11,370319,1024
H742-22-12,371343,1024
H742-22-13,372367,1024
H742-22-14,373391,1024
H742-22-15,374415,1024
H742-22-16,375439,1024
H742-22-17,376463,1024
H742-22-18,377487,467
H742-22-18-1,377954,469
H742-22-19,378423,1024
H742-22-2,379447,1024
H742-22-20,380471,460
H742-22-21,380931,1024
H742-22-22,381955,983
H742-22-23,382938,849
H742-22-24,383787,627
H742-22-25,384414,767
H742-22-25-1,385181,740
H742-22-26,385921,1024
H742-22-27,386945,1024
H742-22-28,387969,932
H742-22-29,388901,1024
H742-22-29-1,389925,1024
H742-22-3,390949,1024
H742-22-30,391973,807
H742-22-31,392780,1024
H742-22-32,393804,1024
H742-22-33,394828,1024
H742-22-34,395852,1024
H742-22-35,396876,1024
H742-22-36A,397900,1024
H742-22-36B,398924,1024
H742-22-37,399948,1024
H742-22-38,400972,1024
H742-22-39,401996,1024
H742-22-39-1,403020,1024
H742-22-39-41,404044,1024
H742-22-4,405068,1024
H742-22-40,406092,1024
H742-22-42,407116,1024
H742-22-5,408140,1024
H742-22-6,409164,1024
H742-22-7,410188,1024
H742-22-8,411212,1024
H742-22-9,412236,1024
H744-22-10,413260,1024
H744-22-11,414284,1024
H744-22-13,415308,1024
H744-22-14,416332,1024
H744-22-15,417356,1024
H744-22-17,418380,1024
H744-22-18,419404,1024
H744-22-19,420428,1024
H744-22-2,421452,1024
H744-22-3,422476,1024
H744-22-4,423500,1024
H744-22-5,424524,1024
H748-23,425548,681
H748-23-1,426229,549
H770-21,426778,424
H772-22-1,427202,1024
H79-21-A,428226,1024
H79-21-A-1,429250,1024
H79-21-B,430274,944
H79-21-B-1,431218,981
H800-23-A1,432199,1024
H800-23-A2,433223,1024
H800-23-B1,434247,1024
H800-23-B2,435271,1024
H82-23-1,436295,1024
H82-23-10,437319,1024
H82-23-12,438343,1024
H82-23-13,439367,1024
H82-23-14,440391,1024
H82-23-15,441415,1024
H82-23-16,442439,1024
H82-23-17,443463,1024
H82-23-18,444487,1024
H82-23-19,445511,1024
H82-23-2,446535,1024
H82-23-3,447559,1024
H82-23-4,448583,1024
H82-23-6,449607,1024
H82-23-7,450631,1024
H82-23-8,451655,1024
H82-23-9,452679,1024
H873-21,453703,1024
H88-21-A1,454727,1024
H88-21-A2,455751,1024
H884-22-1,456775,250
H884-22-1A,457025,233
H884-22-2,457258,664
H905-22-1,457922,1024
H905-22-2,458946,1024
H905-22-4,459970,1024
H905-22-5,460994,1024
H94-22,462018,1024
H969-21-1,463042,1024
H969-21-3,464066,1024
H970-23-10,465090,1024
H970-23-11,466114,1024
H970-23-12,467138,1024
H970-23-13,468162,1024
H970-23-2,469186,1024
H970-23-3,470210,1024
H970-23-4,471234,1024
H970-23-5,472258,1024
H970-23-6,473282,1024
H970-23-7,474306,1024
H970-23-8,475330,1024
H970-23-8-A,476354,1024
H970-23-9,477378,1024
H970-23-EX1,478402,1024
H970-23-EX2,479426,1024
H970-23-EX3,480450,1024
H970-23-EX4,481474,1024
H970-23-EX5,482498,1024
HP1353_21_1.pyramidal,483522,1024
HP1458_22.pyramidal,484546,1024
HP2020_22.pyramidal,485570,1024
HP2069_21.pyramidal,486594,1024
HP2074_21_5.pyramidal,487618,1024
HP2321_21.pyramidal,488642,1024
HP2911_22_5.pyramidal,489666,1024
MSI--634-22B,490690,1024
MSI-B138-22,491714,1024
MSI-B138-22-,492738,1024
MSI-B1919-22,493762,1024
MSI-B2912-2-22,494786,1024
MSI-B2912-2-22A,495810,1024
MSI-B2912_3_22,496834,1024
MSI-B464-23-,497858,1024
MSI-B516-23,498882,1024
MSI-B634-22,499906,1024
MSI-B634-22B,500930,1024
MSI-B634_2_22,501954,1024
MSI-B985-22,502978,1024
MSI-B985-22-,504002,1024
MSI-B985-3-22-,505026,1024
MSI-B985_3_22,506050,1024
MSI_B110-23,507074,1024
MSI_B111-23,508098,1024
MSI_B1559_12,509122,1024
MSI_B1719_21,510146,1024
MSI_B1988_2_21,511170,1024
MSI_B23_2132,512194,1024
MSI_B2581-22,513218,468
MSI_B900_23.pyramidal,513686,1024
MSI_B951_7_21,514710,1024
MSI_B955_4_21,515734,1024
MSI_B957_23.pyramidal,516758,1024
MSI_B975-22,517782,55
MSI_B975-22_,517837,716
T148-1-1-USS,518553,1024
T148-1-1-USS-2,519577,1024
T148_1-1,520601,1024
T167-1-1-USS,521625,1024
T167-1-1-USS-2,522649,1024
T167_1-1,523673,1024
T170-1-1-USS,524697,1024
T170-1-1-USS-2,525721,1024
T170_1-1,526745,1024
T182-1-1-USS,527769,1024
T182-1-1-USS-2,528793,1024
T182_1-1,529817,1024
T192-1-1-USS,530841,1024
T192-1-1-USS-2,531865,1024
T192_1-1,532889,1024
T193-1-1-USS,533913,1024
T193-1-1-USS-2,534937,1024
T193_1-1,535961,1024
T196-1-1-USS,536985,1024
T196-1-1-USS-2,538009,1024
T196_1-1,539033,1024
T197-1-1-USS-2,540057,893
T197-1-1-USS-3,540950,884
T197_1-1,541834,881
T200-1-1-USS,542715,1024
T200-1-1-USS-2,543739,1024
T200_1-1,544763,1024
T203-1-1-USS,545787,1024
T203-1-1-USS-2,546811,1024
T203_1-1,547835,1024
T204-1-1-USS,548859,1024
T204-1-1-USS-2,549883,1024
T204_1-1,550907,1024
T205-1-1-USS,551931,1024
T205-1-1-USS-2,552955,1024
T205_1-1,553979,1024
T207-1-1-USS,555003,1024
T207-1-1-USS-2,556027,1024
T207_1-1,557051,1024
T209-1-1-USS,558075,1024
T209-1-1-USS-2,559099,1024
T209_1-1,560123,1024
T210-1-1-USS,561147,1024
T210-1-1-USS-2,562171,1024
T210_1-1,563195,1024
T211-1-1-USS,564219,1024
T211-1-1-USS-2,565243,1024
T211_1-1,566267,1024
T212-1-1-USS,567291,766
T212-1-1USS,568057,757
T212_1-1,568814,769
T213-1-1-USS,569583,1024
T213-1-1-USS-2,570607,1024
T213_1-1,571631,1024
T214-1-1-USS,572655,1024
T214-1-1-USS-2,573679,1024
T214_1-1,574703,1024
T216-1-1-USS,575727,1024
T216-1-1-USS-2,576751,1024
T216_1-1,577775,1024
T218-1-1-USS,578799,1024
T218-1-1-USS-2,579823,1024
T218_1-1,580847,1024
T220-1-1-USS,581871,1024
T220-1-1-USS-2,582895,1024
T220_1-1,583919,1024
T221-1-1-USS,584943,1024
T221-1-1-USS-2,585967,1024
T221_1-1,586991,1024
T225-1-1-USS,588015,1024
T225-1-1-USS-2,589039,1024
T225_1-1,590063,1024
T226-1-1-USS,591087,1024
T226-1-1-USS-2,592111,1024
T226_1-1,593135,1024
T228-1-1-USS,594159,1024
T228-1-1-USS-2,595183,1024
T228_1-1,596207,1024
T229-1-1-USS,597231,1024
T229-1-1-USS-2,598255,1024
T229_1-1,599279,1024
T230-1-1-USS,600303,1024
T230-1-1-USS-2,601327,1024
T230_1-1,602351,1024
T231-1-1-USS,603375,1024
T231-1-1-USS-2,604399,1024
T231_1-1,605423,1024
T232-1-1-USS,606447,536
T232-1-1-USS-2,606983,524
T232_1-1,607507,529
T234-1-1-USS,608036,1024
T234-1-1-USS-2,609060,1024
T234_1-1,610084,1024
T236-1-1-USS,611108,1024
T236-1-1-USS-2,612132,1024
T236_1-1,613156,1024
T237-1-1-USS,614180,1024
T237-1-1-USS-2,615204,1024
T237-1-1-USS-3,616228,1024
T237-1-1-USS-4,617252,1024
T237_1-1,618276,1024
T237_1-2,619300,1024
T238-1-1-USS,620324,1024
T238-1-1-USS-2,621348,1024
T238_1-1,622372,1024
T240-1-1-USS,623396,951
T240-1-2-USS,624347,940
T240_1-1,625287,970
T241-1-1-USS,626257,583
T241_1-1,626840,730
T242-1-1-USS,627570,1024
T242-1-1USS,628594,1024
T242_1-1,629618,1024
T243-1-1-USS,630642,1024
T243-1-1-USS1,631666,1024
T243_1-1,632690,1024
T244-1-1-USS,633714,1024
T244-1-1-USS-2,634738,1024
T244_1-1,635762,1024
T245-1-1-USS,636786,1024
T245-1-1-USS-2,637810,1024
T245_1-1,638834,1024
T246-1-1-USS,639858,1024
T246-1-1-USS-2,640882,1024
T246_1-1,641906,1024
T250-1-1-USS,642930,1024
T250-1-1-USS-2,643954,1024
T250_1-1,644978,1024
T251-1-1-USS,646002,1024
T251-1-1USS,647026,1024
T251_1-1,648050,1024
T253-1-1-USS,649074,1024
T253-1-1-USS-1,650098,705
T253-1-1-USS-2,650803,1024
T253-1-1-USS-3,651827,704
T253_1-1,652531,1024
T253_1-2,653555,700
T254-1-1-USS,654255,1024
T254-1-1-USS-2,655279,1024
T254-1-1-USS-3,656303,1024
T254-1-1-USS-4,657327,1024
T254_1-1,658351,1024
T254_1-2,659375,1024
T255-1-1-USS,660399,1024
T255-1-1-USS-2,661423,1024
T255_1-1,662447,1024
T257-1-1-USS,663471,1024
T257-1-1-USS-2,664495,1024
T257_1-1,665519,1024
T258-1-1-USS,666543,1024
T258-1-1-USS-2,667567,1024
T258_1-1,668591,1024
T260-1-1-USS,669615,1024
T260-1-1-USS-2,670639,1024
T260_1-1,671663,1024
T261-1-1-USS,672687,1024
T261-1-1-USS-2,673711,1021
T261_1-1,674732,1024
T264-1-1-USS,675756,1024
T264-1-1-USS-2,676780,1024
T264_1-1,677804,1024
T268-1-1-USS,678828,939
T268-1-1-USS-2,679767,1024
T268-1-1USS,680791,938
T268_1-1,681729,931
T269-1-1-USS,682660,1024
T269-1-1-USS-3,683684,1024
T269_1-1,684708,1024
T270_1-1,685732,1024
T271_1-1,686756,865
T274_1-1,687621,1024
T276_1-1,688645,1024
T277_1-1,689669,1024
T280_1-1,690693,1024
T282_1-1,691717,1024
T284_1-1,692741,1024
T285_1-1,693765,1024
T287_1-1,694789,1024
T290-1-1-3,695813,1024
T290-1-1-4,696837,1024
T290_1-1,697861,1024
T291-1-1-3,698885,1024
T291-1-1-4,699909,1024
T291_1-1,700933,1024
T292-1-1-3,701957,1020
T292-1-1-4,702977,1000
T292_1-1,703977,1024
T293-1-1-3,705001,1024
T293-1-1-4,706025,1024
T293_1-1,707049,1024
T294-1-1-3-1,708073,1024
T294-1-1-4,709097,1024
T294_1-1,710121,1024
T297-1-1-3,711145,837
T297-1-1-4,711982,809
T297_1-1,712791,841
T299-1-1-3,713632,1024
T299-1-1-4,714656,1024
T299_1-1,715680,1024
T301-1-1-3,716704,1024
T301-1-4,717728,1024
T301_1-1,718752,1024
T303-1-1-3,719776,1024
T303-1-1-4,720800,1024
T303_1-1,721824,1024
T304-1-1-4,722848,1024
T304-1-1-4-2,723872,1024
T304_1-1,724896,1024
T305-1-1-3,725920,537
T305-1-1-4,726457,486
T305_1-1,726943,567
T306-1-1-3,727510,1024
T306-1-1-4,728534,1024
T306_1-1,729558,1024
T308-1-1-3,730582,1024
T308-1-1-4,731606,1024
T308_1-1,732630,1024
T309-1-1-3,733654,1024
T309-1-1-3-2,734678,1024
T309_1-1,735702,1024
T311_1-1,736726,1024
T313-1-1-4,737750,1024
T313-1-1-4-2,738774,1024
T313_1-1,739798,1024
T316-1-1-3,740822,1024
T316-1-1-4,741846,1024
T316_1-1,742870,1024
T317-1-1-3,743894,1024
T317-1-1-4,744918,993
T317_1-1,745911,1024
T318-3,746935,1024
T318-4,747959,1024
T318_1-1,748983,1024
T319-1-1-4,750007,633
T319-1-1-4-2,750640,645
T319_1-1,751285,670
T320-1-1-3,751955,1024
T320-1-1-4,752979,1024
T320_1-1,754003,1024
T321-1-1-3,755027,1024
T321-1-1-4,756051,1024
T321_1-1,757075,1024
T323-1-1-3,758099,1024
T323-1-1-4,759123,1024
T323_1-1,760147,1024
T326-1-1-3,761171,1024
T326-1-1-4,762195,1024
T326_1-1,763219,1024
T327-1-1-3,764243,87
T327-1-1-4,764330,94
T327_1-1,764424,97
T328-1-1-3,764521,1024
T328-1-1-4,765545,1024
T328_1-1,766569,1024
T329-1-1-3-2,767593,1024
T329-1-1-4,768617,1024
T329_1-1,769641,1024
T331-1-1-4,770665,1024
T331-1-3,771689,1024
T331_1-1,772713,1024
T332-1-1-3,773737,1024
T332-1-14,774761,1024
T332_1-1,775785,1024
T334-1-1-3,776809,1024
T334-1-1-4,777833,1024
T334_1-1,778857,1024
T45-1-1-USS,779881,1024
T45-1-1-USS-2,780905,1024
T45_1-1,781929,1024
TH499-21-4,782953,1024
TH554-23-2,783977,745
TH675-23-1,784722,988
b22_1101_msi,785710,1024
b22_1285_22,786734,1024
b23_2222msi,787758,1024
