slide_id,start,length,reservoir_positions,source_tile_indices
H-503-23-15A,496,8,"[108, 261, 384, 448, 474, 534, 667, 996]","[333, 714, 1054, 1217, 1296, 1457, 1798, 2705]"
H-503-23-15A-1,504,8,"[50, 164, 268, 432, 503, 720, 745, 821]","[273, 757, 1235, 1932, 2221, 3190, 3276, 3606]"
H-503-23-18A,512,8,"[369, 436, 525, 738, 762, 803, 816, 864]","[1653, 1987, 2446, 3588, 3665, 3858, 3926, 4160]"
H-503-23-19A,520,8,"[331, 372, 684, 767, 789, 801, 854, 977]","[2303, 2605, 4787, 5352, 5484, 5567, 5943, 6895]"
H-503-23-20A,528,8,"[254, 274, 465, 660, 665, 755, 842, 853]","[590, 647, 1132, 1599, 1611, 1808, 2076, 2099]"
H-503-23-2B1,536,8,"[4, 153, 250, 416, 450, 650, 762, 766]","[20, 1290, 2028, 3251, 3523, 5264, 6280, 6320]"
H-503-23-3B,544,8,"[153, 433, 536, 599, 660, 776, 851, 1004]","[954, 2843, 3486, 3924, 4193, 4914, 5343, 6231]"
H-503-23-7B,552,8,"[224, 299, 356, 587, 795, 820, 853, 972]","[1242, 1717, 2042, 3450, 4711, 4844, 5048, 5673]"
H-503-23-8B,560,8,"[87, 99, 311, 393, 426, 470, 513, 849]","[1160, 1320, 4125, 5214, 5499, 6078, 6457, 10926]"
H-503-23-9B,568,8,"[34, 534, 566, 699, 715, 786, 969, 983]","[410, 6559, 7067, 8469, 8692, 9430, 11677, 11853]"
H-503-23-A1,576,8,"[64, 95, 139, 298, 309, 386, 691, 1002]","[248, 343, 529, 1097, 1164, 1527, 2786, 3980]"
H-503-23-A2,584,8,"[73, 221, 471, 493, 742, 817, 844, 850]","[190, 555, 1127, 1175, 1721, 1916, 1977, 1996]"
H-503-23-B1,592,8,"[82, 87, 196, 402, 479, 608, 669, 880]","[575, 608, 1492, 3265, 3866, 4874, 5506, 7214]"
H-503-23-B12,600,8,"[57, 157, 408, 555, 725, 886, 911, 933]","[346, 977, 2582, 3455, 4493, 5407, 5559, 5683]"
H-503-23-B12-1,608,8,"[154, 248, 304, 353, 422, 576, 718, 878]","[771, 1234, 1517, 1805, 2230, 2958, 3647, 4584]"
H-503-23-B5,616,8,"[95, 183, 248, 285, 317, 564, 812, 826]","[811, 1480, 1995, 2270, 2516, 4322, 6120, 6228]"
H-503-23-B5-1,624,8,"[47, 316, 565, 573, 628, 722, 890, 1005]","[444, 2548, 4506, 4552, 4982, 5668, 6843, 7816]"
H-503-23-B5-2,632,8,"[387, 475, 557, 700, 766, 789, 833, 982]","[1894, 2217, 2576, 3211, 3484, 3586, 3794, 4472]"
H-707-7-21,640,8,"[85, 146, 264, 383, 560, 611, 1000, 1009]","[883, 1379, 2484, 3517, 5086, 5540, 8902, 8978]"
H-712-22,648,8,"[55, 67, 153, 177, 295, 384, 728, 847]","[55, 67, 153, 177, 295, 384, 728, 847]"
H-720-22,656,8,"[172, 242, 301, 395, 606, 634, 704, 919]","[354, 510, 632, 805, 1207, 1272, 1424, 1887]"
H-7677-A-GIEMSA,664,8,"[88, 104, 110, 329, 359, 747, 819, 999]","[103, 121, 128, 400, 439, 910, 995, 1206]"
H-7677-B-22,672,8,"[0, 329, 338, 357, 416, 434, 473, 709]","[0, 329, 338, 357, 416, 434, 473, 709]"
H-7677-B-22-GIEMSA,680,8,"[11, 23, 25, 37, 41, 127, 155, 169]","[11, 23, 25, 37, 41, 127, 155, 169]"
H-7677-C-22,688,8,"[17, 109, 213, 218, 300, 309, 406, 685]","[17, 109, 213, 218, 300, 309, 406, 685]"
H-7677-C-22-GIEMSA,696,8,"[2, 66, 73, 79, 311, 315, 639, 652]","[2, 66, 73, 79, 311, 315, 639, 652]"
H-905V -3-22,704,8,"[90, 195, 225, 384, 739, 791, 810, 871]","[192, 428, 500, 918, 1746, 1881, 1921, 2062]"
H1006-21,712,8,"[168, 274, 393, 574, 702, 887, 954, 979]","[191, 309, 443, 643, 785, 1000, 1075, 1101]"
H1053-23-1,720,8,"[137, 193, 347, 384, 386, 514, 687, 1023]","[197, 291, 530, 583, 588, 777, 1044, 1542]"
H1053-23-1-1,728,8,"[166, 406, 543, 583, 734, 736, 790, 791]","[234, 581, 804, 859, 1091, 1096, 1178, 1179]"
H1053-23-2,736,8,"[305, 407, 463, 530, 610, 650, 857, 887]","[457, 601, 679, 773, 896, 961, 1262, 1304]"
H1055-21-R,744,8,"[40, 51, 132, 280, 353, 420, 646, 661]","[168, 190, 483, 1117, 1412, 1661, 2553, 2595]"
H1079-22-1,752,8,"[184, 256, 324, 420, 465, 705, 864, 967]","[1250, 1652, 2119, 2821, 3141, 4685, 5619, 6277]"
H1079-22-10,760,8,"[98, 276, 336, 397, 540, 744, 908, 916]","[98, 276, 336, 397, 540, 744, 908, 916]"
H1079-22-11,768,8,"[59, 66, 89, 164, 197, 272, 309, 663]","[322, 352, 452, 809, 949, 1318, 1505, 3116]"
H1079-22-12,776,8,"[16, 57, 116, 281, 418, 765, 978, 1005]","[45, 215, 389, 1006, 1530, 2664, 3336, 3455]"
H1079-22-13,784,8,"[268, 296, 520, 577, 610, 697, 794, 805]","[1585, 1762, 3076, 3351, 3512, 4093, 4637, 4698]"
H1079-22-17,792,8,"[24, 187, 224, 255, 293, 340, 386, 410]","[24, 187, 224, 255, 293, 340, 386, 410]"
H1079-22-18,800,8,"[54, 108, 143, 198, 446, 469, 516, 554]","[54, 108, 143, 198, 446, 469, 516, 554]"
H1079-22-19,808,8,"[28, 222, 544, 562, 592, 701, 722, 759]","[40, 297, 733, 759, 801, 936, 964, 1024]"
H1079-22-2,816,8,"[264, 284, 367, 463, 620, 665, 675, 903]","[1625, 1744, 2244, 2760, 3606, 3903, 3951, 5261]"
H1079-22-2-1,824,8,"[477, 631, 637, 788, 798, 929, 939, 997]","[2598, 3462, 3478, 4302, 4374, 5133, 5175, 5447]"
H1079-22-20,832,8,"[31, 135, 252, 324, 418, 573, 680, 739]","[31, 135, 252, 324, 418, 573, 680, 739]"
H1079-22-21,840,8,"[3, 108, 154, 238, 460, 625, 658, 802]","[9, 301, 431, 691, 1258, 1708, 1814, 2259]"
H1079-22-27,848,8,"[227, 287, 395, 435, 448, 449, 497, 966]","[891, 1140, 1534, 1665, 1731, 1733, 1918, 3632]"
H1079-22-3,856,8,"[22, 142, 263, 302, 454, 565, 822, 850]","[122, 822, 1530, 1729, 2618, 3181, 4424, 4545]"
H1079-22-4,864,8,"[69, 198, 295, 382, 456, 568, 662, 1004]","[404, 906, 1307, 1682, 1986, 2446, 2873, 4370]"
H1079-22-5,872,8,"[80, 225, 227, 352, 401, 558, 635, 636]","[414, 1138, 1150, 1785, 2019, 2792, 3200, 3211]"
H1079-22-6,880,8,"[0, 38, 196, 263, 299, 432, 683, 876]","[10, 303, 1240, 1663, 1903, 2805, 4480, 5557]"
H1079-22-7,888,8,"[112, 234, 420, 505, 763, 786, 961, 1018]","[441, 917, 1833, 2213, 3232, 3337, 3990, 4252]"
H1079-22-8,896,8,"[255, 307, 785, 802, 870, 883, 935, 952]","[1200, 1491, 3496, 3586, 3871, 3934, 4216, 4301]"
H1079-22-9,904,8,"[509, 532, 688, 912, 935, 975, 980, 1004]","[2021, 2108, 2723, 3573, 3655, 3782, 3803, 3873]"
H1085-23,912,8,"[265, 347, 391, 429, 482, 565, 576, 701]","[265, 347, 391, 429, 482, 565, 576, 701]"
H1175-21-A1,920,8,"[108, 134, 445, 847, 925, 948, 991, 1009]","[416, 524, 1909, 3441, 3749, 3834, 3988, 4078]"
H1175-21-A10,928,8,"[125, 269, 382, 520, 823, 868, 883, 1020]","[1213, 2976, 4208, 5418, 8332, 8856, 9058, 10460]"
H1175-21-A11,936,8,"[294, 469, 489, 526, 628, 631, 689, 791]","[4084, 6282, 6447, 6944, 8467, 8500, 9164, 10615]"
H1175-21-A12,944,8,"[120, 147, 166, 303, 493, 530, 556, 860]","[969, 1178, 1385, 2726, 4642, 5107, 5331, 8596]"
H1175-21-A13,952,8,"[28, 131, 155, 386, 392, 698, 726, 1023]","[175, 701, 810, 2110, 2129, 3725, 3882, 5700]"
H1175-21-A14,960,8,"[35, 92, 323, 456, 728, 767, 810, 931]","[205, 496, 1662, 2339, 3640, 3802, 4014, 4649]"
H1175-21-A15,968,8,"[65, 140, 268, 554, 596, 930, 934, 1023]","[325, 750, 1477, 3125, 3355, 5322, 5341, 5916]"
H1175-21-A2,976,8,"[21, 446, 496, 797, 836, 1003, 1006, 1015]","[147, 3397, 3781, 6202, 6459, 7738, 7751, 7807]"
H1175-21-A3,984,8,"[39, 303, 375, 601, 656, 748, 834, 867]","[246, 2016, 2435, 4143, 4542, 5208, 5783, 5992]"
H1175-21-A4,992,8,"[122, 303, 449, 642, 792, 807, 922, 972]","[1093, 2756, 4053, 6102, 7493, 7676, 8709, 9231]"
H1175-21-A5,1000,8,"[444, 527, 576, 652, 785, 844, 903, 997]","[2166, 2525, 2766, 3155, 3865, 4159, 4402, 4874]"
H1175-21-A6,1008,8,"[24, 43, 168, 301, 415, 700, 735, 1001]","[100, 176, 826, 1631, 2386, 3880, 4064, 5497]"
H1175-21-A7,1016,8,"[48, 204, 274, 376, 469, 761, 949, 958]","[593, 2514, 3455, 4783, 5786, 9387, 11482, 11556]"
H1175-21-A8,1024,8,"[93, 158, 296, 329, 402, 423, 659, 816]","[764, 1270, 2339, 2739, 3273, 3391, 5359, 6694]"
H1175-21-A9,1032,8,"[118, 204, 382, 503, 513, 619, 628, 892]","[1294, 2184, 4063, 5299, 5387, 6704, 6865, 9751]"
H1175-21-B1,1040,8,"[64, 370, 456, 538, 558, 561, 612, 898]","[160, 861, 1058, 1245, 1290, 1302, 1417, 2078]"
H1175-21-B1-1,1048,8,"[133, 171, 498, 653, 658, 712, 752, 793]","[262, 337, 1042, 1368, 1385, 1497, 1591, 1663]"
H1175-21-B10,1056,8,"[52, 138, 153, 245, 303, 770, 825, 944]","[217, 624, 692, 1148, 1407, 3393, 3634, 4146]"
H1175-21-B10-1,1064,8,"[164, 391, 407, 744, 791, 806, 987, 1005]","[709, 1665, 1731, 3143, 3355, 3434, 4224, 4283]"
H1175-21-B2,1072,8,"[5, 104, 165, 384, 435, 676, 935, 1012]","[32, 825, 1329, 2785, 3271, 5050, 6885, 7424]"
H1175-21-B3,1080,8,"[0, 292, 561, 565, 620, 707, 889, 1020]","[26, 1969, 3980, 4011, 4404, 5126, 6737, 7671]"
H1175-21-B4,1088,8,"[11, 224, 307, 376, 497, 757, 907, 936]","[52, 1234, 1709, 2089, 2763, 4165, 4928, 5061]"
H1175-21-B5,1096,8,"[416, 682, 718, 808, 886, 893, 927, 952]","[3699, 5967, 6356, 7287, 7882, 7950, 8266, 8402]"
H1175-21-B6,1104,8,"[105, 303, 413, 576, 642, 699, 801, 973]","[1190, 3726, 5080, 7453, 8353, 9104, 10622, 12991]"
H1175-21-B7,1112,8,"[12, 114, 124, 150, 444, 642, 701, 962]","[136, 1032, 1108, 1449, 4106, 6022, 6679, 9070]"
H1175-21-B8,1120,8,"[252, 256, 429, 524, 795, 882, 929, 971]","[2888, 2918, 4918, 6091, 9066, 10201, 10825, 11338]"
H1175-21-B9,1128,8,"[7, 167, 377, 437, 678, 775, 777, 971]","[33, 610, 1434, 1661, 2639, 3029, 3034, 3771]"
H1175-21-C1,1136,8,"[8, 126, 128, 164, 548, 686, 819, 984]","[68, 1056, 1074, 1466, 4786, 6249, 7375, 9040]"
H1175-21-C2,1144,8,"[141, 192, 243, 352, 392, 555, 699, 745]","[1550, 2132, 2723, 3817, 4306, 6241, 7903, 8431]"
H1175-21-C3,1152,8,"[45, 118, 196, 308, 424, 692, 784, 848]","[492, 1347, 2366, 3783, 5254, 8724, 9828, 10617]"
H1175-21-C4,1160,8,"[7, 268, 282, 295, 310, 540, 559, 656]","[124, 2925, 3101, 3325, 3461, 5961, 6221, 7502]"
H1175-21-C5,1168,8,"[141, 187, 272, 295, 386, 468, 772, 849]","[1928, 2645, 3619, 3920, 5157, 6326, 9997, 10972]"
H1175-21-CN,1176,8,"[151, 229, 400, 444, 578, 593, 899, 921]","[2169, 3297, 5678, 6293, 8517, 8639, 13537, 13903]"
H1175-21-D1,1184,8,"[61, 115, 240, 323, 586, 801, 848, 869]","[488, 970, 1880, 2487, 4564, 6222, 6559, 6744]"
H1175-21-D2,1192,8,"[132, 389, 416, 454, 541, 646, 662, 944]","[833, 2420, 2533, 2725, 3334, 3918, 4046, 5945]"
H1175-21-D3,1200,8,"[165, 253, 357, 391, 694, 736, 739, 975]","[1587, 2455, 3459, 3824, 6264, 6594, 6644, 8487]"
H1175-21-D4,1208,8,"[30, 251, 401, 613, 620, 677, 751, 843]","[59, 485, 784, 1216, 1229, 1352, 1489, 1674]"
H1175-21-D5,1216,8,"[79, 111, 261, 263, 315, 386, 454, 758]","[79, 111, 261, 263, 315, 386, 454, 758]"
H1175-21-D7,1224,8,"[9, 47, 64, 149, 163, 181, 183, 243]","[9, 47, 64, 149, 163, 181, 183, 243]"
H1175-21-D8,1232,8,"[30, 156, 227, 790, 874, 875, 938, 942]","[42, 227, 330, 1156, 1282, 1284, 1379, 1384]"
H1175-21-D9,1240,8,"[59, 155, 270, 469, 518, 537, 658, 738]","[59, 155, 270, 469, 518, 537, 658, 738]"
H118-22-A3,1248,8,"[186, 218, 233, 301, 423, 572, 941, 998]","[656, 762, 823, 1074, 1494, 2000, 3209, 3365]"
H118-23-B1,1256,8,"[257, 276, 324, 392, 529, 864, 920, 1015]","[2052, 2217, 2521, 3116, 4081, 6602, 7074, 7873]"
H1205-23-A,1264,8,"[309, 613, 635, 682, 687, 708, 801, 845]","[346, 686, 709, 759, 764, 786, 884, 931]"
H1205-23-A-1,1272,8,"[127, 219, 278, 372, 647, 828, 840, 965]","[180, 296, 377, 508, 866, 1096, 1111, 1283]"
H1205-23-B,1280,8,"[15, 108, 112, 313, 522, 759, 771, 863]","[19, 133, 137, 383, 653, 955, 968, 1078]"
H1205-23-B-1,1288,8,"[236, 269, 276, 458, 507, 624, 844, 910]","[270, 305, 313, 530, 587, 718, 965, 1035]"
H1205-23-C,1296,8,"[94, 178, 389, 477, 514, 542, 549, 946]","[119, 220, 482, 594, 640, 674, 683, 1161]"
H1205-23-C-1,1304,8,"[216, 281, 315, 590, 665, 708, 831, 895]","[274, 359, 404, 759, 863, 919, 1075, 1156]"
H1217-22,1312,8,"[245, 284, 384, 396, 486, 498, 602, 918]","[266, 307, 411, 426, 523, 536, 647, 976]"
H1269-21,1320,8,"[13, 193, 224, 636, 876, 941, 1004, 1008]","[14, 258, 305, 859, 1173, 1260, 1344, 1348]"
H1269-21-1,1328,8,"[106, 256, 465, 562, 632, 705, 763, 952]","[147, 347, 654, 794, 881, 976, 1062, 1330]"
H1306-22,1336,8,"[44, 97, 183, 285, 321, 390, 456, 523]","[44, 97, 183, 285, 321, 390, 456, 523]"
H1356-21,1344,8,"[208, 344, 410, 619, 795, 819, 830, 906]","[228, 378, 456, 683, 878, 903, 915, 998]"
H1356-21-1,1352,8,"[154, 316, 389, 505, 551, 679, 696, 850]","[167, 348, 427, 556, 606, 751, 769, 934]"
H1363-21,1360,8,"[119, 153, 177, 401, 675, 856, 876, 985]","[257, 319, 353, 809, 1375, 1771, 1816, 2054]"
H1374-21,1368,8,"[11, 106, 281, 380, 680, 843, 942, 969]","[32, 285, 716, 1004, 1798, 2213, 2488, 2557]"
H1374-21-1,1376,8,"[307, 449, 501, 556, 586, 596, 700, 708]","[825, 1197, 1319, 1465, 1555, 1572, 1858, 1879]"
H1393-21-1,1384,8,"[103, 138, 206, 408, 652, 801, 821, 899]","[195, 270, 400, 753, 1195, 1469, 1511, 1645]"
H1401-21,1392,8,"[78, 219, 312, 365, 470, 685, 788, 868]","[156, 445, 640, 753, 949, 1390, 1596, 1767]"
H1401-21-1,1400,8,"[5, 403, 406, 513, 596, 627, 710, 927]","[11, 837, 848, 1071, 1238, 1297, 1488, 1955]"
H1440-21-1,1408,8,"[104, 173, 233, 370, 479, 514, 525, 661]","[1088, 1748, 2276, 3522, 4438, 4840, 4920, 6076]"
H1440-21-11,1416,8,"[237, 536, 661, 774, 776, 886, 909, 1016]","[2314, 5614, 6739, 7724, 7765, 8734, 8989, 10027]"
H1440-21-12,1424,8,"[68, 140, 239, 292, 337, 350, 562, 950]","[597, 1092, 1920, 2394, 2720, 2792, 4556, 7683]"
H1440-21-13,1432,8,"[85, 541, 581, 754, 801, 861, 985, 993]","[145, 817, 882, 1125, 1198, 1280, 1476, 1489]"
H1440-21-14,1440,8,"[8, 17, 118, 158, 310, 697, 782, 884]","[35, 70, 440, 594, 1186, 2699, 3037, 3484]"
H1440-21-15,1448,8,"[50, 60, 165, 342, 680, 754, 817, 972]","[220, 259, 663, 1343, 2581, 2870, 3093, 3594]"
H1440-21-16,1456,8,"[124, 154, 242, 503, 645, 734, 821, 839]","[809, 1036, 1708, 3422, 4394, 5060, 5562, 5669]"
H1440-21-17,1464,8,"[10, 128, 161, 185, 267, 474, 800, 823]","[10, 128, 161, 185, 267, 474, 800, 823]"
H1440-21-18,1472,8,"[32, 123, 258, 336, 651, 660, 899, 991]","[56, 230, 460, 604, 1161, 1176, 1591, 1750]"
H1440-21-19,1480,8,"[1, 219, 234, 296, 420, 470, 510, 812]","[8, 554, 588, 723, 1020, 1132, 1228, 2029]"
H1440-21-21,1488,8,"[58, 93, 99, 205, 457, 476, 688, 725]","[58, 93, 99, 205, 457, 476, 688, 725]"
H1440-21-21-1,1496,8,"[23, 30, 107, 178, 222, 292, 336, 598]","[23, 30, 107, 178, 222, 292, 336, 598]"
H1440-21-23,1504,8,"[66, 159, 336, 339, 451, 453, 504, 565]","[66, 159, 336, 339, 451, 453, 504, 565]"
H1440-21-25,1512,8,"[49, 52, 108, 202, 203, 307, 317, 337]","[49, 52, 108, 202, 203, 307, 317, 337]"
H1440-21-26,1520,8,"[367, 388, 462, 507, 543, 626, 699, 942]","[471, 500, 594, 651, 695, 799, 884, 1193]"
H1440-21-28,1528,8,"[19, 274, 308, 323, 602, 778, 790, 822]","[19, 274, 308, 323, 602, 778, 790, 822]"
H1440-21-29,1536,8,"[1, 68, 173, 199, 232, 292, 565, 990]","[5, 223, 611, 688, 798, 1000, 1916, 3357]"
H1440-21-3,1544,8,"[192, 234, 479, 611, 744, 778, 813, 907]","[1208, 1409, 2905, 3722, 4546, 4747, 4945, 5644]"
H1440-21-30,1552,8,"[243, 463, 474, 484, 541, 573, 633, 989]","[706, 1405, 1432, 1459, 1631, 1702, 1914, 3101]"
H1440-21-31,1560,8,"[142, 437, 548, 650, 778, 838, 887, 979]","[929, 2828, 3528, 4125, 5038, 5418, 5795, 6407]"
H1440-21-32,1568,8,"[190, 215, 316, 347, 566, 600, 726, 1006]","[1102, 1263, 1788, 1930, 3296, 3472, 4185, 5787]"
H1440-21-33,1576,8,"[147, 201, 423, 508, 514, 609, 745, 835]","[1838, 2513, 4874, 5750, 5827, 6808, 8572, 9560]"
